species,RL.cat,TBL,pext,ED,EDGE
Lactuca_perennis,LC,7.282389,0.03463816523827231,7.39713876553169,0.2562233148509163
Lactuca_plumieri,LC,7.282389,0.08179400366591298,7.330983287617639,0.599630473902144
Urospermum_dalechampii,LC,6.111837,0.0782026361266015,6.936276445335847,0.5424351029281161
Urospermum_picroides,LC,6.111837,0.07891247877229739,6.9288603523908785,0.5467735454742582
Rhagadiolus_stellatus,LC,5.060177,0.006505789840817002,5.140163098249887,0.033440820864736556
Crepis_pulchra,LC,5.060177,0.03214036767687331,5.07636762826637,0.16315632203545846
Crepis_pygmaea,LC,3.569498,0.07617710411050098,3.6672897125652413,0.2793635102374516
Crepis_mollis,LC,3.569498,0.05579258542082619,3.7030191374959127,0.20660101154369484
Crepis_paludosa,LC,3.9734745,0.020753214923098427,3.9734745059651146,0.08246237041374636
Crepis_alpina,EN,1.634479,0.4175743576517927,1.6363166027754812,0.6832838543189351
Crepis_zacintha,NT,1.556734,0.16057693318296304,1.5621565300046825,0.2508463047398913
Crepis_foetida,LC,1.556734,0.008282361033077067,1.6618650411085785,0.013764166258710709
Crepis_conyzifolia,NT,2.717153375,0.15154919268866784,2.717169006573415,0.4117847693448706
Crepis_tingitana,VU,1.244182833,0.20314981739132695,1.2445728377710832,0.2528347447234011
Crepis_capillaris,LC,0.78879375,0.04161348070757148,0.7935085572314221,0.033020653037642664
Crepis_biennis,NT,0.6928585,0.15034635904282634,0.6981020997642015,0.1049571089396996
Crepis_setosa,LC,0.6928585,0.041054941935801066,0.7120609661503182,0.029233621620051723
Prenanthes_purpurea,LC,13.16147912,0.07990143058338425,13.16147912,1.0516210102813413
